,$X^0$,$X^1$,$X^2$,$Y$
0,-0.592113,-1.457841,-2.438788,-2.617081
1,0.14630541,-0.483836,-1.0096734,-4.0326095
2,1.185465,0.8470189,-1.2077051,-3.301702
3,1.8836275,1.3118665,-1.3870225,-1.2378036
4,-0.05913006,1.9143542,-0.6787577,-1.303619
5,-0.97921604,0.58325285,-0.1528594,0.0917086
6,-0.17041595,-1.0135336,-0.76036704,-0.06893921
7,0.3944948,0.7918601,-2.8225396,-2.5370166
8,0.791194,0.23162222,-0.27693263,-1.251576
9,4.406567,-0.08869745,1.340972,0.40395847
10,3.6554875,1.2661059,2.1855817,0.5676834
11,3.694407,1.4425042,0.93942386,2.5058162
12,3.5400867,1.4656407,1.2956026,1.54898
13,3.129452,3.1909509,1.6424254,2.2366488
14,1.8753471,1.5901474,2.6840878,1.551212
15,2.0717123,2.0409434,2.703483,0.5941124
16,0.67737335,1.4856735,1.4400989,1.7587521
17,0.23734273,1.3085637,1.2346544,1.5884209
18,-0.31922364,2.444463,1.383789,1.0407317
19,-0.14158241,2.2189598,2.5727646,0.21082559
20,2.215551,2.091568,2.4063642,1.1290125
21,-0.3163796,2.536605,2.8536625,2.5448692
22,0.46479443,1.4106706,1.954703,2.5585647
23,-1.2873597,0.14825977,2.7629037,2.3629012
24,-1.3730837,-0.9410274,1.5633948,1.1523868
25,0.12779203,-2.6250758,-0.5422127,1.7952082
26,0.15373445,0.21865411,0.63280684,-1.1744318
27,-0.9701306,-0.95015055,1.0887845,0.34538803
28,-1.3943951,-0.886359,-0.28270802,1.3715038
29,-0.29647884,-0.8972646,-1.0769979,0.46027562
30,-0.93790185,-0.32067853,-0.4806721,-0.6879618
31,-0.44007272,0.5912622,-0.028867317,-1.2474667
32,-0.26247907,1.2743571,0.21309651,0.555792
33,-0.83533573,0.30897254,0.6202325,-0.913044
34,1.559209,0.04915907,1.904801,-1.1925215
35,1.7253653,0.3169913,2.3456173,0.20902766
36,-0.817387,-0.026797216,1.7719156,2.667983
37,-0.3857166,1.5885875,1.6584315,1.9868902
38,-0.931788,1.6029862,0.037266087,0.7306571
39,0.20018171,1.8569682,0.5507997,0.1311012
40,-0.6523936,1.962759,2.4961364,0.06986717
41,-0.57141197,2.5474052,1.2920954,0.5786855
42,0.104998924,1.9642053,0.1936124,2.1224005
43,0.93925446,0.07811172,-0.14144187,-0.031497058
44,-0.5428183,0.45436615,-0.9568807,1.7430785
45,-0.7144741,-0.33330056,-1.2808926,1.1250184
46,-0.97507715,-0.76192707,-1.2205094,0.8189569
47,-1.3358833,0.053015083,-2.3632226,-0.97096133
48,0.83033603,1.2753936,-1.4225665,-1.7401879
49,0.9862169,0.9140471,0.6121398,-2.2771077
50,-0.5705321,0.948666,-0.22163348,-0.81059676
